"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","1","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/22px-Flag_of_the_United_States.svg.png","Estados Unidos","Estados Unidos","https://es.wikipedia.org/wiki/Estados_Unidos_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(USA)","36","39","26","101"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","2","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/22px-Flag_of_the_People%27s_Republic_of_China.svg.png","China","China","https://es.wikipedia.org/wiki/China_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(CHN)","32","17","14","63"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","3","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png","Rusia","Rusia","https://es.wikipedia.org/wiki/Rusia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(RUS)","28","27","38","92"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","4","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png","Australia","Australia","https://es.wikipedia.org/wiki/Australia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(AUS)","17","16","16","49"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","5","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/22px-Flag_of_Japan.svg.png","Japón","Japón","https://es.wikipedia.org/wiki/Jap%C3%B3n_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(JPN)","16","9","12","37"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","6","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png","Alemania","Alemania","https://es.wikipedia.org/wiki/Alemania_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(GER)","13","16","20","49"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","7","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/22px-Flag_of_France.svg.png","Francia","Francia","https://es.wikipedia.org/wiki/Francia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(FRA)","11","9","13","33"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","8","https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Italy_%282003%E2%80%932006%29.svg/22px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png","Italia","Italia","https://es.wikipedia.org/wiki/Italia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(ITA)","10","11","11","32"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","9","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flag_of_South_Korea_%281997%E2%80%932011%29.svg/22px-Flag_of_South_Korea_%281997%E2%80%932011%29.svg.png","Corea del Sur","Corea del Sur","https://es.wikipedia.org/wiki/Corea_del_Sur_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(KOR)","9","12","9","30"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","10","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/22px-Flag_of_the_United_Kingdom.svg.png","Reino Unido","Reino Unido","https://es.wikipedia.org/wiki/Reino_Unido_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(GBR)","9","9","12","30"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","11","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/22px-Flag_of_Cuba.svg.png","Cuba","Cuba","https://es.wikipedia.org/wiki/Cuba_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(CUB)","9","7","11","27"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","12","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/22px-Flag_of_Hungary.svg.png","Hungría","Hungría","https://es.wikipedia.org/wiki/Hungr%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(HUN)","8","6","3","17"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","13","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/22px-Flag_of_Ukraine.svg.png","Ucrania","Ucrania","https://es.wikipedia.org/wiki/Ucrania_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(UKR)","8","5","9","22"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","14","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/22px-Flag_of_Romania.svg.png","Rumania","Rumania","https://es.wikipedia.org/wiki/Rumania_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(ROU)","8","5","6","19"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","15","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/22px-Flag_of_Greece.svg.png","Grecia","Grecia","https://es.wikipedia.org/wiki/Grecia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(GRE)","6","6","4","16"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","16","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png","Brasil","Brasil","https://es.wikipedia.org/wiki/Brasil_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(BRA)","5","2","3","10"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","17","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/22px-Flag_of_Norway.svg.png","Noruega","Noruega","https://es.wikipedia.org/wiki/Noruega_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(NOR)","5","0","1","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","18","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png","Países Bajos","Países Bajos","https://es.wikipedia.org/wiki/Pa%C3%ADses_Bajos_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(NED)","4","9","9","22"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","19","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/22px-Flag_of_Sweden.svg.png","Suecia","Suecia","https://es.wikipedia.org/wiki/Suecia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(SWE)","4","2","1","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","20","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/22px-Flag_of_Spain.svg.png","España","España","https://es.wikipedia.org/wiki/Espa%C3%B1a_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(ESP)","3","11","6","20"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","21","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Canada.svg/22px-Flag_of_Canada.svg.png","Canadá","Canadá","https://es.wikipedia.org/wiki/Canad%C3%A1_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(CAN)","3","6","3","12"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","22","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/22px-Flag_of_Turkey.svg.png","Turquía","Turquía","https://es.wikipedia.org/wiki/Turqu%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(TUR)","3","3","4","10"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","23","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/22px-Flag_of_Poland.svg.png","Polonia","Polonia","https://es.wikipedia.org/wiki/Polonia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(POL)","3","2","5","10"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","24","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/22px-Flag_of_New_Zealand.svg.png","Nueva Zelanda","Nueva Zelanda","https://es.wikipedia.org/wiki/Nueva_Zelanda_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(NZL)","3","2","0","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","25","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/22px-Flag_of_Thailand.svg.png","Tailandia","Tailandia","https://es.wikipedia.org/wiki/Tailandia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(THA)","3","1","4","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","26","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Belarus_%281995%E2%80%932012%29.svg/22px-Flag_of_Belarus_%281995%E2%80%932012%29.svg.png","Bielorrusia","Bielorrusia","https://es.wikipedia.org/wiki/Bielorrusia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(BLR)","2","6","7","15"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","27","https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/22px-Flag_of_Austria.svg.png","Austria","Austria","https://es.wikipedia.org/wiki/Austria_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(AUT)","2","4","1","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","28","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/22px-Flag_of_Ethiopia.svg.png","Etiopía","Etiopía","https://es.wikipedia.org/wiki/Etiop%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(ETH)","2","3","2","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","29","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/22px-Flag_of_Denmark.svg.png","Dinamarca","Dinamarca","https://es.wikipedia.org/wiki/Dinamarca_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(DEN)","2","2","4","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","30","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/22px-Flag_of_Iran.svg.png","Irán","Irán","https://es.wikipedia.org/wiki/Ir%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(IRI)","2","2","2","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","31","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/22px-Flag_of_Slovakia.svg.png","Eslovaquia","Eslovaquia","https://es.wikipedia.org/wiki/Eslovaquia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(SVK)","2","2","2","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","32","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Chinese_Taipei_for_Olympic_games.svg/22px-Flag_of_Chinese_Taipei_for_Olympic_games.svg.png","China Taipéi","China Taipéi","https://es.wikipedia.org/wiki/China_Taip%C3%A9i_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(TPE)","2","2","1","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","33","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/22px-Flag_of_Georgia.svg.png","Georgia","Georgia","https://es.wikipedia.org/wiki/Georgia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(GEO)","2","2","0","4"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","34","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/22px-Flag_of_Bulgaria.svg.png","Bulgaria","Bulgaria","https://es.wikipedia.org/wiki/Bulgaria_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(BUL)","2","1","9","12"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","35","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/22px-Flag_of_Jamaica.svg.png","Jamaica","Jamaica","https://es.wikipedia.org/wiki/Jamaica_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(JAM)","2","1","2","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","36","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/22px-Flag_of_Uzbekistan.svg.png","Uzbekistán","Uzbekistán","https://es.wikipedia.org/wiki/Uzbekist%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(UZB)","2","1","2","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","37","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/22px-Flag_of_Morocco.svg.png","Marruecos","Marruecos","https://es.wikipedia.org/wiki/Marruecos_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(MAR)","2","1","0","3"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","38","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/22px-Flag_of_Argentina.svg.png","Argentina","Argentina","https://es.wikipedia.org/wiki/Argentina_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(ARG)","2","0","4","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","39","https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/22px-Flag_of_Chile.svg.png","Chile","Chile","https://es.wikipedia.org/wiki/Chile_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(CHI)","2","0","1","3"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","40","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/22px-Flag_of_Kazakhstan.svg.png","Kazajistán","Kazajistán","https://es.wikipedia.org/wiki/Kazajist%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(KAZ)","1","4","3","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","41","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/22px-Flag_of_Kenya.svg.png","Kenia","Kenia","https://es.wikipedia.org/wiki/Kenia_en_los_Juegos_Ol%C3%ADmpicos_de_Atenas_2004","(KEN)","1","4","2","7"
