"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","1","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/20px-Flag_of_the_United_States.svg.png","Bandera de Estados Unidos","Estados Unidos","https://es.wikipedia.org/wiki/Estados_Unidos_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(EE UU)","46","28","29","103"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","2","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/20px-Flag_of_the_People%27s_Republic_of_China.svg.png","Bandera de la República Popular China","China","https://es.wikipedia.org/wiki/China_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(CHN)","38","31","22","91"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","3","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/20px-Flag_of_the_United_Kingdom.svg.png","Bandera de Reino Unido","Reino Unido","https://es.wikipedia.org/wiki/Reino_Unido_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(GBR)","29","17","19","65"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","4","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/20px-Flag_of_Russia.svg.png","Bandera de Rusia","Rusia","https://es.wikipedia.org/wiki/Rusia_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(RUS)","24","26","32","82"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","5","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/20px-Flag_of_South_Korea.svg.png","Bandera de Corea del Sur","Corea del Sur","https://es.wikipedia.org/wiki/Corea_del_Sur_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(KOR)","13","8","7","28"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","6","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/20px-Flag_of_Germany.svg.png","Bandera de Alemania","Alemania","https://es.wikipedia.org/wiki/Alemania_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(GER)","11","19","14","44"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","7","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png","Bandera de Francia","Francia","https://es.wikipedia.org/wiki/Francia_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(FRA)","11","11","12","34"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","8","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png","Bandera de Italia","Italia","https://es.wikipedia.org/wiki/Italia_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(ITA)","8","9","11","28"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","9","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/20px-Flag_of_Hungary.svg.png","Bandera de Hungría","Hungría","https://es.wikipedia.org/wiki/Hungr%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(HUN)","8","4","6","18"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","10","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/20px-Flag_of_Australia_%28converted%29.svg.png","Bandera de Australia","Australia","https://es.wikipedia.org/wiki/Australia_en_los_Juegos_Ol%C3%ADmpicos_de_Londres_2012","(AUS)","7","16","12","35"
