"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","1","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/22px-Flag_of_the_United_States.svg.png","Estados Unidos","Estados Unidos","https://es.wikipedia.org/wiki/Estados_Unidos_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(USA)","44","32","25","101"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","2","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png","Rusia","Rusia","https://es.wikipedia.org/wiki/Rusia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(RUS)","26","21","16","63"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","3","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png","Alemania","Alemania","https://es.wikipedia.org/wiki/Alemania_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(GER)","20","18","27","65"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","4","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/22px-Flag_of_the_People%27s_Republic_of_China.svg.png","China","China","https://es.wikipedia.org/wiki/China_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(CHN)","16","22","12","50"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","5","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/22px-Flag_of_France.svg.png","Francia","Francia","https://es.wikipedia.org/wiki/Francia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(FRA)","15","7","15","37"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","6","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/22px-Flag_of_Italy.svg.png","Italia","Italia","https://es.wikipedia.org/wiki/Italia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(ITA)","13","10","12","35"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","7","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png","Australia","Australia","https://es.wikipedia.org/wiki/Australia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(AUS)","9","9","23","41"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","8","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/22px-Flag_of_Cuba.svg.png","Cuba","Cuba","https://es.wikipedia.org/wiki/Cuba_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(CUB)","9","8","8","25"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","9","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/22px-Flag_of_Ukraine.svg.png","Ucrania","Ucrania","https://es.wikipedia.org/wiki/Ucrania_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(UKR)","9","2","12","23"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","10","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_South_Korea_%281984%E2%80%931997%29.svg/22px-Flag_of_South_Korea_%281984%E2%80%931997%29.svg.png","Corea del Sur","Corea del Sur","https://es.wikipedia.org/wiki/Corea_del_Sur_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(KOR)","7","15","5","27"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","11","https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/22px-Flag_of_Poland.svg.png","Polonia","Polonia","https://es.wikipedia.org/wiki/Polonia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(POL)","7","5","5","17"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","12","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/22px-Flag_of_Hungary.svg.png","Hungría","Hungría","https://es.wikipedia.org/wiki/Hungr%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(HUN)","7","4","10","21"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","13","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/22px-Flag_of_Spain.svg.png","España","España","https://es.wikipedia.org/wiki/Espa%C3%B1a_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(ESP)","5","6","6","17"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","14","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/22px-Flag_of_Romania.svg.png","Rumania","Rumania","https://es.wikipedia.org/wiki/Rumania_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(ROU)","4","7","9","20"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","15","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png","Países Bajos","Países Bajos","https://es.wikipedia.org/wiki/Pa%C3%ADses_Bajos_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(NED)","4","5","10","19"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","16","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/22px-Flag_of_Greece.svg.png","Grecia","Grecia","https://es.wikipedia.org/wiki/Grecia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(GRE)","4","4","0","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","17","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/22px-Flag_of_the_Czech_Republic.svg.png","República Checa","República Checa","https://es.wikipedia.org/wiki/Rep%C3%BAblica_Checa_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(CZE)","4","3","4","11"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","18","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/20px-Flag_of_Switzerland.svg.png","Suiza","Suiza","https://es.wikipedia.org/wiki/Suiza_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(SUI)","4","3","0","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","19","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/22px-Flag_of_Denmark.svg.png","Dinamarca","Dinamarca","https://es.wikipedia.org/wiki/Dinamarca_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(DEN)","4","1","1","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","19","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/22px-Flag_of_Turkey.svg.png","Turquía","Turquía","https://es.wikipedia.org/wiki/Turqu%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(TUR)","4","1","1","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","21","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Canada.svg/22px-Flag_of_Canada.svg.png","Canadá","Canadá","https://es.wikipedia.org/wiki/Canad%C3%A1_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(CAN)","3","11","8","22"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","22","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/22px-Flag_of_Bulgaria.svg.png","Bulgaria","Bulgaria","https://es.wikipedia.org/wiki/Bulgaria_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(BUL)","3","7","5","15"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","23","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Japan_%281870%E2%80%931999%29.svg/22px-Flag_of_Japan_%281870%E2%80%931999%29.svg.png","Japón","Japón","https://es.wikipedia.org/wiki/Jap%C3%B3n_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(JPN)","3","6","5","14"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","24","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/22px-Flag_of_Kazakhstan.svg.png","Kazajistán","Kazajistán","https://es.wikipedia.org/wiki/Kazajist%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(KAZ)","3","4","4","11"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","25","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png","Brasil","Brasil","https://es.wikipedia.org/wiki/Brasil_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(BRA)","3","3","9","15"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","26","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/22px-Flag_of_New_Zealand.svg.png","Nueva Zelanda","Nueva Zelanda","https://es.wikipedia.org/wiki/Nueva_Zelanda_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(NZL)","3","2","1","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","27","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/22px-Flag_of_South_Africa.svg.png","Sudáfrica","Sudáfrica","https://es.wikipedia.org/wiki/Sud%C3%A1frica_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(RSA)","3","1","1","5"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","28","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/22px-Flag_of_Ireland.svg.png","Irlanda","Irlanda","https://es.wikipedia.org/wiki/Irlanda_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(IRL)","3","0","1","4"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","29","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/22px-Flag_of_Sweden.svg.png","Suecia","Suecia","https://es.wikipedia.org/wiki/Suecia_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(SWE)","2","4","2","8"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","30","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/22px-Flag_of_Norway.svg.png","Noruega","Noruega","https://es.wikipedia.org/wiki/Noruega_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(NOR)","2","2","3","7"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","31","https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/22px-Flag_of_Belgium_%28civil%29.svg.png","Bélgica","Bélgica","https://es.wikipedia.org/wiki/B%C3%A9lgica_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(BEL)","2","2","2","6"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","32","https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/22px-Flag_of_Nigeria.svg.png","Nigeria","Nigeria","https://es.wikipedia.org/wiki/Nigeria_en_los_Juegos_Ol%C3%ADmpicos_de_Atlanta_1996","(NGR)","2","1","3","6"
