,Continent,Country Name,country_id
0,AS,afganistan,(AFG)
1,EU,islas-aland,(ALA)
2,EU,albania,(ALB)
3,AF,argelia,(DZA)
4,OC,samoa-americana,(ASM)
5,EU,andorra,(AND)
6,AF,angola,(AGO)
7,NA,anguila,(AIA)
8,AN,antartida,(ATA)
9,NA,antigua-y-barbuda,(ATG)
10,SA,argentina,(ARG)
11,AS,armenia,(ARM)
12,NA,aruba,(ABW)
13,OC,australia,(AUS)
14,EU,austria,(AUT)
15,AS,azerbaiyan,(AZE)
16,NA,bahamas,(BHS)
17,AS,barein,(BHR)
18,AS,banglades,(BGD)
19,NA,barbados,(BRB)
20,EU,bielorrusia,(BLR)
21,EU,belgica,(BEL)
22,NA,belice,(BLZ)
23,AF,benin,(BEN)
24,NA,bermudas,(BMU)
25,AS,butan,(BTN)
26,SA,bolivia-estado-plurinacional-de,(BOL)
27,NA,bonaire-san-eustaquio-y-saba,(BES)
28,EU,bosnia-y-herzegovina,(BIH)
29,AF,botsuana,(BWA)
30,AN,isla-bouvet,(BVT)
31,SA,brasil,(BRA)
32,AS,territorio-britanico-del-oceano-indico,(IOT)
33,AS,brunei-darussalam,(BRN)
34,EU,bulgaria,(BGR)
35,AF,burkina-faso,(BFA)
36,AF,burundi,(BDI)
37,AS,camboya,(KHM)
38,AF,camerun,(CMR)
39,NA,canada,(CAN)
40,AF,cabo-verde,(CPV)
41,NA,islas-caiman,(CYM)
42,AF,republica-centroafricana,(CAF)
43,AF,chad,(TCD)
44,SA,chile,(CHL)
45,AS,china-republica-popular,(CHN)
46,AS,isla-de-navidad,(CXR)
47,AS,islas-cocos-keeling-,(CCK)
48,SA,colombia,(COL)
49,AF,comoras,(COM)
50,AF,congo,(COG)
51,AF,congo-la-republica-democratica-del,(COD)
52,OC,islas-cook,(COK)
53,NA,costa-rica,(CRI)
54,AF,costa-de-marfil,(CIV)
55,EU,croacia,(HRV)
56,NA,cuba,(CUB)
57,NA,curazao,(CUW)
58,AS,chipre,(CYP)
59,EU,republica-checa,(CZE)
60,EU,dinamarca,(DNK)
61,AF,yibuti,(DJI)
62,NA,dominica,(DMA)
63,NA,republica-dominicana,(DOM)
64,SA,ecuador,(ECU)
65,AF,egipto,(EGY)
66,NA,el-salvador,(SLV)
67,AF,guinea-ecuatorial,(GNQ)
68,AF,eritrea,(ERI)
69,EU,estonia,(EST)
70,AF,etiopia,(ETH)
71,SA,islas-falkland-malvinas-,(FLK)
72,EU,islas-feroe,(FRO)
73,OC,fiyi,(FJI)
74,EU,finlandia,(FIN)
75,EU,francia,(FRA)
76,SA,guayana-francesa,(GUF)
77,OC,polinesia-francesa,(PYF)
