"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","1","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/20px-Flag_of_the_United_States.svg.png","Bandera de Estados Unidos","Estados Unidos","https://es.wikipedia.org/wiki/Estados_Unidos_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(USA)","46","37","38","121"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","2","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/20px-Flag_of_the_United_Kingdom.svg.png","Bandera de Reino Unido","Reino Unido","https://es.wikipedia.org/wiki/Reino_Unido_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(GBR)","27","23","17","67"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","3","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/20px-Flag_of_the_People%27s_Republic_of_China.svg.png","Bandera de la República Popular China","China","https://es.wikipedia.org/wiki/China_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(CHN)","26","18","26","70"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","4","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/20px-Flag_of_Russia.svg.png","Bandera de Rusia","Rusia","https://es.wikipedia.org/wiki/Rusia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(RUS)","19","17","20","56"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","5","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/20px-Flag_of_Germany.svg.png","Bandera de Alemania","Alemania","https://es.wikipedia.org/wiki/Alemania_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(GER)","17","10","15","42"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","6","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/20px-Flag_of_Japan.svg.png","Bandera de Japón","Japón","https://es.wikipedia.org/wiki/Jap%C3%B3n_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(JPN)","12","8","21","41"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","7","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png","Bandera de Francia","Francia","https://es.wikipedia.org/wiki/Francia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(FRA)","10","18","14","42"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","8","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/20px-Flag_of_South_Korea.svg.png","Bandera de Corea del Sur","Corea del Sur","https://es.wikipedia.org/wiki/Corea_del_Sur_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(KOR)","9","3","9","21"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","9","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png","Bandera de Italia","Italia","https://es.wikipedia.org/wiki/Italia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(ITA)","8","12","8","28"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","10","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/20px-Flag_of_Australia_%28converted%29.svg.png","Bandera de Australia","Australia","https://es.wikipedia.org/wiki/Australia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(AUS)","8","11","10","29"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","11","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/20px-Flag_of_the_Netherlands.svg.png","Bandera de los Países Bajos","Países Bajos","https://es.wikipedia.org/wiki/Pa%C3%ADses_Bajos_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(NED)","8","7","4","19"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","12","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/20px-Flag_of_Hungary.svg.png","Bandera de Hungría","Hungría","https://es.wikipedia.org/wiki/Hungr%C3%ADa_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(HUN)","8","3","4","15"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","13","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/20px-Flag_of_Brazil.svg.png","Bandera de Brasil","Brasil","https://es.wikipedia.org/wiki/Brasil_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(BRA)","7","6","6","19"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","14","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/20px-Flag_of_Spain.svg.png","Bandera de España","España","https://es.wikipedia.org/wiki/Espa%C3%B1a_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(ESP)","7","4","6","17"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","15","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/20px-Flag_of_Kenya.svg.png","Bandera de Kenia","Kenia","https://es.wikipedia.org/wiki/Kenia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(KEN)","6","6","1","13"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","16","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/20px-Flag_of_Jamaica.svg.png","Bandera de Jamaica","Jamaica","https://es.wikipedia.org/wiki/Jamaica_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(JAM)","6","3","2","11"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","17","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/20px-Flag_of_Croatia.svg.png","Bandera de Croacia","Croacia","https://es.wikipedia.org/wiki/Croacia_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(CRO)","5","3","2","10"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","18","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/20px-Flag_of_Cuba.svg.png","Bandera de Cuba","Cuba","https://es.wikipedia.org/wiki/Cuba_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(CUB)","5","2","4","11"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","19","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/20px-Flag_of_New_Zealand.svg.png","Bandera de Nueva Zelanda","Nueva Zelanda","https://es.wikipedia.org/wiki/Nueva_Zelanda_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(NZL)","4","9","5","18"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","20","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/20px-Flag_of_Canada_%28Pantone%29.svg.png","Bandera de Canadá","Canadá","https://es.wikipedia.org/wiki/Canad%C3%A1_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(CAN)","4","3","15","22"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","21","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/20px-Flag_of_Uzbekistan.svg.png","Bandera de Uzbekistán","Uzbekistán","https://es.wikipedia.org/wiki/Uzbekist%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(UZB)","4","2","7","13"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","22","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/20px-Flag_of_Kazakhstan.svg.png","Bandera de Kazajistán","Kazajistán","https://es.wikipedia.org/wiki/Kazajist%C3%A1n_en_los_Juegos_Ol%C3%ADmpicos_de_R%C3%ADo_de_Janeiro_2016","(KAZ)","3","5","9","17"
