"url","Column 1","Pas 1","Pas 1_alt","Pas 2","Pas 2_link","Pas 3","Col 1","Col 2","Col 3","Total"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","1","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/22px-Flag_of_the_United_States.svg.png","Estados Unidos","Estados Unidos","https://es.wikipedia.org/wiki/Estados_Unidos_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(USA)","36","24","31","91"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","2","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png","Rusia","Rusia","https://es.wikipedia.org/wiki/Rusia_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(RUS)","32","28","28","88"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","3","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/22px-Flag_of_the_People%27s_Republic_of_China.svg.png","China","China","https://es.wikipedia.org/wiki/China_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(CHN)","28","16","15","59"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","4","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png","Australia","Australia","https://es.wikipedia.org/wiki/Australia_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(AUS)","16","25","17","58"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","5","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png","Alemania","Alemania","https://es.wikipedia.org/wiki/Alemania_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(GER)","13","17","26","56"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","6","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/22px-Flag_of_France.svg.png","Francia","Francia","https://es.wikipedia.org/wiki/Francia_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(FRA)","13","14","11","38"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","7","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/22px-Flag_of_Italy.svg.png","Italia","Italia","https://es.wikipedia.org/wiki/Italia_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(ITA)","13","8","13","34"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","8","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png","Países Bajos","Países Bajos","https://es.wikipedia.org/wiki/Pa%C3%ADses_Bajos_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(NED)","12","9","4","25"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","9","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/22px-Flag_of_Cuba.svg.png","Cuba","Cuba","https://es.wikipedia.org/wiki/Cuba_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(CUB)","11","11","7","29"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","10","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/22px-Flag_of_the_United_Kingdom.svg.png","Reino Unido","Reino Unido","https://es.wikipedia.org/wiki/Reino_Unido_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(GBR)","11","10","7","28"
"https://es.wikipedia.org/wiki/Anexo:Medallero_de_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","11","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/22px-Flag_of_Romania.svg.png","Rumania","Rumania","https://es.wikipedia.org/wiki/Rumania_en_los_Juegos_Ol%C3%ADmpicos_de_S%C3%ADdney_2000","(ROU)","11","6","9","26"
